ID	DaylightName	StandardName	RawUtcOffset	OffsetSeconds	StandardAbbreviation	Win32Id
65	Antarctica/South_Pole Daylight Time	Antarctica/South_Pole Standard Time	12:00:00	43200	NZST	
66	Atlantic/South_Georgia Daylight Time	Atlantic/South_Georgia Standard Time	-02:00:00	-7200	GST	
67	America/Yakutat Daylight Time	America/Yakutat Standard Time	-09:00:00	-32400	AKST	
68	America/Buenos_Aires Daylight Time	America/Buenos_Aires Standard Time	-03:00:00	-10800	ART	Argentina Standard Time
69	Africa/Douala Daylight Time	Africa/Douala Standard Time	01:00:00	3600	WAT	
70	Africa/Nairobi Daylight Time	Africa/Nairobi Standard Time	03:00:00	10800	EAT	E. Africa Standard Time
71	America/Moncton Daylight Time	America/Moncton Standard Time	-04:00:00	-14400	AST	
72	Atlantic/Azores Daylight Time	Atlantic/Azores Standard Time	-01:00:00	-3600	AZOT	Azores Standard Time
73	America/Cancun Daylight Time	America/Cancun Standard Time	-06:00:00	-21600	CST	
74	America/Cayman Daylight Time	America/Cayman Standard Time	-05:00:00	-18000	EST	
75	Europe/Andorra Daylight Time	Europe/Andorra Standard Time	01:00:00	3600	CET	
76	America/Boa_Vista Daylight Time	America/Boa_Vista Standard Time	-04:00:00	-14400	AMT	
77	America/Cuiaba Daylight Time	America/Cuiaba Standard Time	-04:00:00	-14400	AMT	Central Brazilian Standard Time
78	Indian/Cocos Daylight Time	Indian/Cocos Standard Time	06:30:00	23400	CCT	
79	America/Mendoza Daylight Time	America/Mendoza Standard Time	-03:00:00	-10800	ART	
80	Asia/Makassar Daylight Time	Asia/Makassar Standard Time	08:00:00	28800	WITA	
81	Factory Daylight Time	Factory Standard Time	00:00:00	0	Local time zone must be set--see zic manual page	
82	Atlantic/Faeroe Daylight Time	Atlantic/Faeroe Standard Time	00:00:00	0	WET	
83	Europe/Nicosia Daylight Time	Europe/Nicosia Standard Time	02:00:00	7200	EET	
84	Australia/Victoria Daylight Time	Australia/Victoria Standard Time	10:00:00	36000	EST	
85	Europe/Amsterdam Daylight Time	Europe/Amsterdam Standard Time	01:00:00	3600	CET	
86	America/Argentina/Jujuy Daylight Time	America/Argentina/Jujuy Standard Time	-03:00:00	-10800	ART	
87	America/Argentina/Salta Daylight Time	America/Argentina/Salta Standard Time	-03:00:00	-10800	ART	
88	America/Cambridge_Bay Daylight Time	America/Cambridge_Bay Standard Time	-07:00:00	-25200	MST	
89	Asia/Ashgabat Daylight Time	Asia/Ashgabat Standard Time	05:00:00	18000	ASHT	
90	Asia/Ashkhabad Daylight Time	Asia/Ashkhabad Standard Time	05:00:00	18000	ASHT	
91	America/St_Vincent Daylight Time	America/St_Vincent Standard Time	-04:00:00	-14400	AST	
92	Europe/Warsaw Daylight Time	Europe/Warsaw Standard Time	01:00:00	3600	CET	Central European Standard Time
93	Antarctica/DumontDUrville Daylight Time	Antarctica/DumontDUrville Standard Time	10:00:00	36000	DDUT	
94	America/Argentina/Buenos_Aires Daylight Time	America/Argentina/Buenos_Aires Standard Time	-03:00:00	-10800	ART	
95	America/Asuncion Daylight Time	America/Asuncion Standard Time	-04:00:00	-14400	PYT	Paraguay Standard Time
96	EST5EDT Daylight Time	EST5EDT Standard Time	-05:00:00	-18000	EST	
97	Europe/Tirane Daylight Time	Europe/Tirane Standard Time	01:00:00	3600	CET	
98	Canada/Mountain Daylight Time	Canada/Mountain Standard Time	-07:00:00	-25200	MST	
99	Asia/Shanghai Daylight Time	Asia/Shanghai Standard Time	08:00:00	28800	CST	China Standard Time
100	Africa/Juba Daylight Time	Africa/Juba Standard Time	03:00:00	10800	CAT	
101	Africa/Lome Daylight Time	Africa/Lome Standard Time	00:00:00	0	GMT	
102	America/Port-au-Prince Daylight Time	America/Port-au-Prince Standard Time	-05:00:00	-18000	EST	
103	Pacific/Yap Daylight Time	Pacific/Yap Standard Time	10:00:00	36000	CHUT	
104	Australia/Lindeman Daylight Time	Australia/Lindeman Standard Time	10:00:00	36000	EST	
105	America/Glace_Bay Daylight Time	America/Glace_Bay Standard Time	-04:00:00	-14400	AST	
106	Asia/Pyongyang Daylight Time	Asia/Pyongyang Standard Time	09:00:00	32400	KST	
107	Europe/Volgograd Daylight Time	Europe/Volgograd Standard Time	04:00:00	14400	VOLT	
108	Canada/East-Saskatchewan Daylight Time	Canada/East-Saskatchewan Standard Time	-06:00:00	-21600	MST	
109	America/La_Paz Daylight Time	America/La_Paz Standard Time	-04:00:00	-14400	BOT	SA Western Standard Time
110	Europe/Simferopol Daylight Time	Europe/Simferopol Standard Time	02:00:00	7200	EET	
111	Europe/Zurich Daylight Time	Europe/Zurich Standard Time	01:00:00	3600	CET	
112	Pacific/Pohnpei Daylight Time	Pacific/Pohnpei Standard Time	11:00:00	39600	PONT	
113	Europe/Zagreb Daylight Time	Europe/Zagreb Standard Time	01:00:00	3600	CET	
114	America/Manaus Daylight Time	America/Manaus Standard Time	-04:00:00	-14400	AMT	
115	America/Maceio Daylight Time	America/Maceio Standard Time	-03:00:00	-10800	BRT	
116	Atlantic/Canary Daylight Time	Atlantic/Canary Standard Time	00:00:00	0	WET	
117	America/Merida Daylight Time	America/Merida Standard Time	-06:00:00	-21600	CST	
118	Singapore Daylight Time	Singapore Standard Time	08:00:00	28800	MALT	
119	Pacific/Enderbury Daylight Time	Pacific/Enderbury Standard Time	13:00:00	46800	PHOT	
120	Asia/Yerevan Daylight Time	Asia/Yerevan Standard Time	04:00:00	14400	AMT	Caucasus Standard Time
121	America/Catamarca Daylight Time	America/Catamarca Standard Time	-03:00:00	-10800	ART	
122	Europe/Skopje Daylight Time	Europe/Skopje Standard Time	01:00:00	3600	CET	
123	America/Belize Daylight Time	America/Belize Standard Time	-06:00:00	-21600	CST	
124	America/Rosario Daylight Time	America/Rosario Standard Time	-03:00:00	-10800	ART	
125	America/Bogota Daylight Time	America/Bogota Standard Time	-05:00:00	-18000	COT	SA Pacific Standard Time
126	Asia/Macao Daylight Time	Asia/Macao Standard Time	08:00:00	28800	MOT	
127	Asia/Macau Daylight Time	Asia/Macau Standard Time	08:00:00	28800	MOT	
128	Europe/Samara Daylight Time	Europe/Samara Standard Time	04:00:00	14400	SAMT	
129	America/Miquelon Daylight Time	America/Miquelon Standard Time	-03:00:00	-10800	PMST	
130	Asia/Kabul Daylight Time	Asia/Kabul Standard Time	04:30:00	16200	AFT	Afghanistan Standard Time
131	Asia/Dhaka Daylight Time	Asia/Dhaka Standard Time	06:00:00	21600	BDT	Bangladesh Standard Time
132	Asia/Dacca Daylight Time	Asia/Dacca Standard Time	06:00:00	21600	BDT	
133	Asia/Dubai Daylight Time	Asia/Dubai Standard Time	04:00:00	14400	GST	Arabian Standard Time
134	Asia/Amman Daylight Time	Asia/Amman Standard Time	03:00:00	10800	EET	Jordan Standard Time
135	Asia/Aqtau Daylight Time	Asia/Aqtau Standard Time	05:00:00	18000	SHET	
136	Asia/Tokyo Daylight Time	Asia/Tokyo Standard Time	09:00:00	32400	JST	Tokyo Standard Time
137	Europe/Prague Daylight Time	Europe/Prague Standard Time	01:00:00	3600	CET	
138	Asia/Qatar Daylight Time	Asia/Qatar Standard Time	03:00:00	10800	AST	
139	Asia/Seoul Daylight Time	Asia/Seoul Standard Time	09:00:00	32400	KST	Korea Standard Time
140	Europe/Chisinau Daylight Time	Europe/Chisinau Standard Time	02:00:00	7200	EET	
141	Africa/Mogadishu Daylight Time	Africa/Mogadishu Standard Time	03:00:00	10800	EAT	
142	America/Adak Daylight Time	America/Adak Standard Time	-10:00:00	-36000	HAST	
143	America/Atka Daylight Time	America/Atka Standard Time	-10:00:00	-36000	HAST	
144	America/Lima Daylight Time	America/Lima Standard Time	-05:00:00	-18000	PET	
145	America/Nome Daylight Time	America/Nome Standard Time	-09:00:00	-32400	AKST	
146	America/Havana Daylight Time	America/Havana Standard Time	-05:00:00	-18000	CST	
147	Asia/Magadan Daylight Time	Asia/Magadan Standard Time	12:00:00	43200	MAGT	Magadan Standard Time
148	Atlantic/Faroe Daylight Time	Atlantic/Faroe Standard Time	00:00:00	0	WET	
149	America/Dominica Daylight Time	America/Dominica Standard Time	-04:00:00	-14400	AST	
150	Europe/Vienna Daylight Time	Europe/Vienna Standard Time	01:00:00	3600	CET	
151	Europe/Vilnius Daylight Time	Europe/Vilnius Standard Time	02:00:00	7200	EET	
152	America/Inuvik Daylight Time	America/Inuvik Standard Time	-07:00:00	-25200	MST	
153	America/Argentina/Rio_Gallegos Daylight Time	America/Argentina/Rio_Gallegos Standard Time	-03:00:00	-10800	ART	
154	Europe/Belgrade Daylight Time	Europe/Belgrade Standard Time	01:00:00	3600	CET	
155	Africa/Casablanca Daylight Time	Africa/Casablanca Standard Time	00:00:00	0	WET	Morocco Standard Time
156	Asia/Yakutsk Daylight Time	Asia/Yakutsk Standard Time	10:00:00	36000	YAKT	Yakutsk Standard Time
157	America/Nassau Daylight Time	America/Nassau Standard Time	-05:00:00	-18000	EST	
158	CST6CDT Daylight Time	CST6CDT Standard Time	-06:00:00	-21600	CST	
159	America/Argentina/Ushuaia Daylight Time	America/Argentina/Ushuaia Standard Time	-03:00:00	-10800	ART	
160	America/Montserrat Daylight Time	America/Montserrat Standard Time	-04:00:00	-14400	AST	
161	Africa/Kampala Daylight Time	Africa/Kampala Standard Time	03:00:00	10800	EAT	
162	Asia/Tel_Aviv Daylight Time	Asia/Tel_Aviv Standard Time	02:00:00	7200	IST	
163	America/Santo_Domingo Daylight Time	America/Santo_Domingo Standard Time	-04:00:00	-14400	EST	
164	America/Godthab Daylight Time	America/Godthab Standard Time	-03:00:00	-10800	WGT	Greenland Standard Time
165	Asia/Dushanbe Daylight Time	Asia/Dushanbe Standard Time	05:00:00	18000	DUST	
166	Asia/Colombo Daylight Time	Asia/Colombo Standard Time	05:30:00	19800	IST	Sri Lanka Standard Time
167	America/Rankin_Inlet Daylight Time	America/Rankin_Inlet Standard Time	-06:00:00	-21600	CST	
168	Africa/Ouagadougou Daylight Time	Africa/Ouagadougou Standard Time	00:00:00	0	GMT	
169	America/Juneau Daylight Time	America/Juneau Standard Time	-09:00:00	-32400	AKST	
170	PRC Daylight Time	PRC Standard Time	08:00:00	28800	CST	
171	ROC Daylight Time	ROC Standard Time	08:00:00	28800	CST	
172	ROK Daylight Time	ROK Standard Time	09:00:00	32400	KST	
173	WET Daylight Time	WET Standard Time	00:00:00	0	WET	
174	HST Daylight Time	HST Standard Time	-10:00:00	-36000	HST	
175	UCT Daylight Time	UCT Standard Time	00:00:00	0	UCT	
176	UTC Daylight Time	UTC Standard Time	00:00:00	0	UTC	
177	CET Daylight Time	CET Standard Time	01:00:00	3600	CET	
178	MST Daylight Time	MST Standard Time	-07:00:00	-25200	MST	
179	MET Daylight Time	MET Standard Time	01:00:00	3600	MET	
180	GMT Daylight Time	GMT Standard Time	00:00:00	0	GMT	
181	EST Daylight Time	EST Standard Time	-05:00:00	-18000	EST	
182	EET Daylight Time	EET Standard Time	02:00:00	7200	EET	
183	Africa/Gaborone Daylight Time	Africa/Gaborone Standard Time	02:00:00	7200	CAT	
184	Etc/GMT+12 Daylight Time	Etc/GMT+12 Standard Time	-12:00:00	-43200	GMT+12	Dateline Standard Time
185	Etc/GMT+11 Daylight Time	Etc/GMT+11 Standard Time	-11:00:00	-39600	GMT+11	UTC-11
186	Etc/GMT+10 Daylight Time	Etc/GMT+10 Standard Time	-10:00:00	-36000	GMT+10	
187	Etc/GMT-14 Daylight Time	Etc/GMT-14 Standard Time	14:00:00	50400	GMT-14	
188	Etc/GMT-11 Daylight Time	Etc/GMT-11 Standard Time	11:00:00	39600	GMT-11	
189	Etc/GMT-10 Daylight Time	Etc/GMT-10 Standard Time	10:00:00	36000	GMT-10	
190	Etc/GMT-13 Daylight Time	Etc/GMT-13 Standard Time	13:00:00	46800	GMT-13	
191	Etc/GMT-12 Daylight Time	Etc/GMT-12 Standard Time	12:00:00	43200	GMT-12	UTC+12
192	Asia/Krasnoyarsk Daylight Time	Asia/Krasnoyarsk Standard Time	08:00:00	28800	KRAT	North Asia Standard Time
193	Europe/Vatican Daylight Time	Europe/Vatican Standard Time	01:00:00	3600	CET	
194	Canada/Central Daylight Time	Canada/Central Standard Time	-06:00:00	-21600	CST	
195	America/Panama Daylight Time	America/Panama Standard Time	-05:00:00	-18000	EST	
196	Atlantic/Jan_Mayen Daylight Time	Atlantic/Jan_Mayen Standard Time	01:00:00	3600	CET	
197	America/Montevideo Daylight Time	America/Montevideo Standard Time	-03:00:00	-10800	UYT	Montevideo Standard Time
198	America/New_York Daylight Time	America/New_York Standard Time	-05:00:00	-18000	EST	Eastern Standard Time
199	Chile/Continental Daylight Time	Chile/Continental Standard Time	-04:00:00	-14400	CLT	
200	America/Grand_Turk Daylight Time	America/Grand_Turk Standard Time	-05:00:00	-18000	EST	
201	America/Santa_Isabel Daylight Time	America/Santa_Isabel Standard Time	-08:00:00	-28800	PST	Pacific Standard Time (Mexico)
202	America/Virgin Daylight Time	America/Virgin Standard Time	-04:00:00	-14400	AST	
203	America/Grenada Daylight Time	America/Grenada Standard Time	-04:00:00	-14400	AST	
204	America/Metlakatla Daylight Time	America/Metlakatla Standard Time	-08:00:00	-28800	PST	
205	America/Guatemala Daylight Time	America/Guatemala Standard Time	-06:00:00	-21600	CST	Central America Standard Time
206	America/Puerto_Rico Daylight Time	America/Puerto_Rico Standard Time	-04:00:00	-14400	AST	
207	America/Tijuana Daylight Time	America/Tijuana Standard Time	-08:00:00	-28800	PST	
208	America/Indiana/Marengo Daylight Time	America/Indiana/Marengo Standard Time	-05:00:00	-18000	EST	
209	Europe/Brussels Daylight Time	Europe/Brussels Standard Time	01:00:00	3600	CET	
210	Australia/West Daylight Time	Australia/West Standard Time	08:00:00	28800	WST	
211	America/Toronto Daylight Time	America/Toronto Standard Time	-05:00:00	-18000	EST	
212	America/Tortola Daylight Time	America/Tortola Standard Time	-04:00:00	-14400	AST	
213	America/Rio_Branco Daylight Time	America/Rio_Branco Standard Time	-05:00:00	-18000	ACT	
214	Africa/Sao_Tome Daylight Time	Africa/Sao_Tome Standard Time	00:00:00	0	GMT	
215	America/Recife Daylight Time	America/Recife Standard Time	-03:00:00	-10800	BRT	
216	America/Regina Daylight Time	America/Regina Standard Time	-06:00:00	-21600	MST	Canada Central Standard Time
217	Europe/Zaporozhye Daylight Time	Europe/Zaporozhye Standard Time	02:00:00	7200	EET	
218	America/Caracas Daylight Time	America/Caracas Standard Time	-04:30:00	-16200	VET	Venezuela Standard Time
219	Arctic/Longyearbyen Daylight Time	Arctic/Longyearbyen Standard Time	01:00:00	3600	CET	
220	America/Cayenne Daylight Time	America/Cayenne Standard Time	-03:00:00	-10800	GFT	SA Eastern Standard Time
221	America/El_Salvador Daylight Time	America/El_Salvador Standard Time	-06:00:00	-21600	CST	
222	Canada/Eastern Daylight Time	Canada/Eastern Standard Time	-05:00:00	-18000	EST	
223	Australia/Brisbane Daylight Time	Australia/Brisbane Standard Time	10:00:00	36000	EST	E. Australia Standard Time
224	US/Central Daylight Time	US/Central Standard Time	-06:00:00	-21600	CST	
225	Africa/Addis_Ababa Daylight Time	Africa/Addis_Ababa Standard Time	03:00:00	10800	EAT	
226	Pacific/Norfolk Daylight Time	Pacific/Norfolk Standard Time	11:30:00	41400	NFT	
227	Africa/Ndjamena Daylight Time	Africa/Ndjamena Standard Time	01:00:00	3600	WAT	
228	America/Kentucky/Monticello Daylight Time	America/Kentucky/Monticello Standard Time	-05:00:00	-18000	EST	
229	Asia/Vladivostok Daylight Time	Asia/Vladivostok Standard Time	11:00:00	39600	VLAT	Vladivostok Standard Time
230	Chile/EasterIsland Daylight Time	Chile/EasterIsland Standard Time	-06:00:00	-21600	EAST	
231	Indian/Antananarivo Daylight Time	Indian/Antananarivo Standard Time	03:00:00	10800	EAT	
232	America/Los_Angeles Daylight Time	America/Los_Angeles Standard Time	-08:00:00	-28800	PST	Pacific Standard Time
233	America/Cordoba Daylight Time	America/Cordoba Standard Time	-03:00:00	-10800	ART	
234	Asia/Manila Daylight Time	Asia/Manila Standard Time	08:00:00	28800	PHT	
235	US/East-Indiana Daylight Time	US/East-Indiana Standard Time	-05:00:00	-18000	EST	
236	Asia/Muscat Daylight Time	Asia/Muscat Standard Time	04:00:00	14400	GST	
237	Asia/Damascus Daylight Time	Asia/Damascus Standard Time	02:00:00	7200	EET	Syria Standard Time
238	America/Argentina/Cordoba Daylight Time	America/Argentina/Cordoba Standard Time	-03:00:00	-10800	ART	
239	America/Chicago Daylight Time	America/Chicago Standard Time	-06:00:00	-21600	CST	Central Standard Time
240	Asia/Hebron Daylight Time	Asia/Hebron Standard Time	02:00:00	7200	EET	
241	America/Menominee Daylight Time	America/Menominee Standard Time	-06:00:00	-21600	CST	
242	Asia/Harbin Daylight Time	Asia/Harbin Standard Time	08:00:00	28800	CST	
243	Atlantic/Stanley Daylight Time	Atlantic/Stanley Standard Time	-03:00:00	-10800	FKT	
244	Asia/Yekaterinburg Daylight Time	Asia/Yekaterinburg Standard Time	06:00:00	21600	YEKT	Ekaterinburg Standard Time
245	America/Curacao Daylight Time	America/Curacao Standard Time	-04:00:00	-14400	AST	
246	Antarctica/Casey Daylight Time	Antarctica/Casey Standard Time	08:00:00	28800	WST	
247	America/Barbados Daylight Time	America/Barbados Standard Time	-04:00:00	-14400	AST	
248	Antarctica/Davis Daylight Time	Antarctica/Davis Standard Time	07:00:00	25200	DAVT	
249	Europe/Bucharest Daylight Time	Europe/Bucharest Standard Time	02:00:00	7200	EET	GTB Standard Time
250	America/Port_of_Spain Daylight Time	America/Port_of_Spain Standard Time	-04:00:00	-14400	AST	
251	Antarctica/Syowa Daylight Time	Antarctica/Syowa Standard Time	03:00:00	10800	SYOT	
252	US/Alaska Daylight Time	US/Alaska Standard Time	-09:00:00	-32400	AKST	
253	America/Whitehorse Daylight Time	America/Whitehorse Standard Time	-08:00:00	-28800	PST	
254	Australia/Queensland Daylight Time	Australia/Queensland Standard Time	10:00:00	36000	EST	
255	Etc/GMT Daylight Time	Etc/GMT Standard Time	00:00:00	0	GMT	UTC
256	Etc/UTC Daylight Time	Etc/UTC Standard Time	00:00:00	0	UTC	
257	Etc/UCT Daylight Time	Etc/UCT Standard Time	00:00:00	0	UCT	
258	America/Iqaluit Daylight Time	America/Iqaluit Standard Time	-05:00:00	-18000	EST	
259	Pacific/Auckland Daylight Time	Pacific/Auckland Standard Time	12:00:00	43200	NZST	New Zealand Standard Time
260	Asia/Kuwait Daylight Time	Asia/Kuwait Standard Time	03:00:00	10800	AST	
261	Asia/Novosibirsk Daylight Time	Asia/Novosibirsk Standard Time	07:00:00	25200	NOVT	N. Central Asia Standard Time
262	Africa/Freetown Daylight Time	Africa/Freetown Standard Time	00:00:00	0	WAT	
263	Africa/Dar_es_Salaam Daylight Time	Africa/Dar_es_Salaam Standard Time	03:00:00	10800	EAT	
264	America/Detroit Daylight Time	America/Detroit Standard Time	-05:00:00	-18000	EST	
265	Africa/Djibouti Daylight Time	Africa/Djibouti Standard Time	03:00:00	10800	EAT	
266	Europe/Oslo Daylight Time	Europe/Oslo Standard Time	01:00:00	3600	CET	
267	Europe/Kiev Daylight Time	Europe/Kiev Standard Time	02:00:00	7200	EET	FLE Standard Time
268	Europe/Rome Daylight Time	Europe/Rome Standard Time	01:00:00	3600	CET	
269	Europe/Riga Daylight Time	Europe/Riga Standard Time	02:00:00	7200	EET	
270	America/Guayaquil Daylight Time	America/Guayaquil Standard Time	-05:00:00	-18000	ECT	
271	Indian/Maldives Daylight Time	Indian/Maldives Standard Time	05:00:00	18000	MVT	
272	Europe/Ljubljana Daylight Time	Europe/Ljubljana Standard Time	01:00:00	3600	CET	
273	Europe/Guernsey Daylight Time	Europe/Guernsey Standard Time	00:00:00	0	GMT	
274	Africa/Lagos Daylight Time	Africa/Lagos Standard Time	01:00:00	3600	WAT	W. Central Africa Standard Time
275	Pacific/Kiritimati Daylight Time	Pacific/Kiritimati Standard Time	14:00:00	50400	LINT	
276	Africa/Accra Daylight Time	Africa/Accra Standard Time	00:00:00	0	GMT	
277	Indian/Comoro Daylight Time	Indian/Comoro Standard Time	03:00:00	10800	EAT	
278	Africa/Cairo Daylight Time	Africa/Cairo Standard Time	02:00:00	7200	EET	Egypt Standard Time
279	Africa/Ceuta Daylight Time	Africa/Ceuta Standard Time	01:00:00	3600	CET	
280	Africa/Dakar Daylight Time	Africa/Dakar Standard Time	00:00:00	0	GMT	
281	Indian/Chagos Daylight Time	Indian/Chagos Standard Time	06:00:00	21600	IOT	
282	Africa/Johannesburg Daylight Time	Africa/Johannesburg Standard Time	02:00:00	7200	SAST	South Africa Standard Time
283	Asia/Phnom_Penh Daylight Time	Asia/Phnom_Penh Standard Time	07:00:00	25200	ICT	
284	Africa/Tunis Daylight Time	Africa/Tunis Standard Time	01:00:00	3600	CET	
285	Africa/El_Aaiun Daylight Time	Africa/El_Aaiun Standard Time	00:00:00	0	WET	
286	America/Ojinaga Daylight Time	America/Ojinaga Standard Time	-07:00:00	-25200	MST	
287	Poland Daylight Time	Poland Standard Time	01:00:00	3600	CET	
288	Europe/Isle_of_Man Daylight Time	Europe/Isle_of_Man Standard Time	00:00:00	0	GMT	
289	America/North_Dakota/New_Salem Daylight Time	America/North_Dakota/New_Salem Standard Time	-06:00:00	-21600	CST	
290	America/Sao_Paulo Daylight Time	America/Sao_Paulo Standard Time	-03:00:00	-10800	BRT	E. South America Standard Time
